
Debian GNU/Linux 11 syzkaller ttyS0

Warning: Permanently added '[localhost]:35117' (ED25519) to the list of known hosts.
executing program
syzkaller login: [   48.047116][ T6146] loop0: detected capacity change from 0 to 32768
[   53.583157][ T6962] btrfs: Deprecated parameter 'usebackuproot'
[   53.583540][ T6962] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.588922][ T6962] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6962)
[   53.590495][ T6962] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.591052][ T6962] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.591587][ T6962] BTRFS info (device loop0): disk space caching is enabled
[   53.597352][ T6962] BTRFS info (device loop0): rebuilding free space tree
[   53.605298][ T6962] BTRFS info (device loop0): disabling free space tree
[   53.605756][ T6962] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.606329][ T6962] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.618988][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   53.732842][ T6984] loop0: detected capacity change from 0 to 32768
[   53.733744][ T6984] btrfs: Deprecated parameter 'usebackuproot'
[   53.734097][ T6984] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.734794][ T6984] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6984)
[   53.736299][ T6984] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.736914][ T6984] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.737511][ T6984] BTRFS info (device loop0): disk space caching is enabled
[   53.742901][ T6984] BTRFS info (device loop0): rebuilding free space tree
[   53.745638][ T6984] BTRFS info (device loop0): disabling free space tree
[   53.746030][ T6984] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.746563][ T6984] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.765573][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   53.878586][ T7005] loop0: detected capacity change from 0 to 32768
[   53.879475][ T7005] btrfs: Deprecated parameter 'usebackuproot'
[   53.879827][ T7005] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.881534][ T7005] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (7005)
[   53.884284][ T7005] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.884893][ T7005] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.885473][ T7005] BTRFS info (device loop0): disk space caching is enabled
[   53.893536][ T7005] BTRFS info (device loop0): rebuilding free space tree
[   53.896033][ T7005] BTRFS info (device loop0): disabling free space tree
[   53.896444][ T7005] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.897003][ T7005] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.910229][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.916463][ T6145] assertion failed: list_empty(&fs_info->delayed_iputs), in fs/btrfs/disk-io.c:4341
[   53.917318][ T6145] ------------[ cut here ]------------
[   53.917628][ T6145] kernel BUG at fs/btrfs/disk-io.c:4341!
[   53.917964][ T6145] invalid opcode: 0000 [#1] PREEMPT SMP NOPTI
[   53.918308][ T6145] CPU: 0 PID: 6145 Comm: syz-executor108 Not tainted 6.9.0-rc4 #2
[   53.918762][ T6145] Hardware name: QEMU Standard PC (i440FX + PIIX, 1996), BIOS 1.15.0-1 04/01/2014
[   53.919274][ T6145] RIP: 0010:close_ctree+0x738/0x790
[   53.919801][ T6145] Code: 17 ff 90 0f 0b e8 b8 9a 26 ff b9 f5 10 00 00 48 c7 c2 b6 43 fc 85 48 c7 c6 d0 77 10 86 48 c7 c7 c0 46 10 86 e8 09 09 17 ff 90 <0f> 0b e8 91 9a 26 ff b9 fe 10 00 00 48 c7 c2 b6 43 fc 85 48 c7 c6
[   53.921610][ T6145] RSP: 0018:ffff88800e0dbd28 EFLAGS: 00010293
[   53.921950][ T6145] RAX: 0000000000000051 RBX: ffff888010cbc000 RCX: ffffffff811a8c5e
[   53.922379][ T6145] RDX: ffff88800cec8000 RSI: ffffffff811a9769 RDI: 0000000000000001
[   53.922870][ T6145] RBP: ffff88800e0dbda8 R08: 0000000000000001 R09: 0000000000000001
[   53.923364][ T6145] R10: 0000000000000000 R11: 0000000000000000 R12: 0000000000000000
[   53.923795][ T6145] R13: ffffffff8538a900 R14: 0000000000000001 R15: 0000000000000000
[   53.924218][ T6145] FS:  000055557dd3d3c0(0000) GS:ffff88807dc00000(0000) knlGS:0000000000000000
[   53.924689][ T6145] CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033
[   53.925037][ T6145] CR2: 000055557dd467a8 CR3: 000000000fb0a002 CR4: 0000000000770ef0
[   53.925455][ T6145] PKRU: 55555554
[   53.925657][ T6145] Call Trace:
[   53.925845][ T6145]  <TASK>
[   53.926015][ T6145]  ? show_regs+0xa3/0xc0
[   53.926282][ T6145]  ? die+0x3d/0xb0
[   53.926518][ T6145]  ? do_trap+0x134/0x150
[   53.926782][ T6145]  ? do_error_trap+0xdd/0x1d0
[   53.927064][ T6145]  ? close_ctree+0x738/0x790
[   53.927354][ T6145]  ? exc_invalid_op+0x87/0xb0
[   53.927650][ T6145]  ? close_ctree+0x738/0x790
[   53.927928][ T6145]  ? asm_exc_invalid_op+0x1f/0x30
[   53.928229][ T6145]  ? vprintk_emit+0x1be/0x540
[   53.928514][ T6145]  ? vprintk+0x89/0xa0
[   53.928767][ T6145]  ? close_ctree+0x738/0x790
[   53.929075][ T6145]  ? close_ctree+0x737/0x790
[   53.929401][ T6145]  ? evict_inodes+0x20b/0x260
[   53.929719][ T6145]  ? hook_sb_delete+0x3c7/0x6b0
[   53.930100][ T6145]  btrfs_put_super+0x39/0x50
[   53.930394][ T6145]  ? __pfx_btrfs_put_super+0x10/0x10
[   53.930751][ T6145]  generic_shutdown_super+0x9e/0x180
[   53.931085][ T6145]  kill_anon_super+0x20/0x50
[   53.931416][ T6145]  btrfs_kill_super+0x24/0x40
[   53.931731][ T6145]  deactivate_locked_super+0x55/0x100
[   53.932055][ T6145]  deactivate_super+0x83/0xa0
[   53.932347][ T6145]  cleanup_mnt+0x17e/0x210
[   53.932623][ T6145]  __cleanup_mnt+0x1a/0x30
[   53.932899][ T6145]  task_work_run+0xa1/0x110
[   53.933174][ T6145]  syscall_exit_to_user_mode+0x204/0x210
[   53.933506][ T6145]  do_syscall_64+0xd0/0x200
[   53.933791][ T6145]  entry_SYSCALL_64_after_hwframe+0x77/0x7f
[   53.934121][ T6145] RIP: 0033:0x7fe0e9df6fdb
[   53.934377][ T6145] Code: 08 00 48 83 c4 08 5b 5d c3 66 0f 1f 44 00 00 c3 66 2e 0f 1f 84 00 00 00 00 00 0f 1f 44 00 00 f3 0f 1e fa b8 a6 00 00 00 0f 05 <48> 3d 00 f0 ff ff 77 05 c3 0f 1f 40 00 48 c7 c2 b8 ff ff ff f7 d8
[   53.935363][ T6145] RSP: 002b:00007fff38a5ce78 EFLAGS: 00000202 ORIG_RAX: 00000000000000a6
[   53.935814][ T6145] RAX: 0000000000000000 RBX: 0000000000000000 RCX: 00007fe0e9df6fdb
[   53.936240][ T6145] RDX: 00007fe0e9da6e48 RSI: 0000000000000009 RDI: 00007fff38a5cf30
[   53.936657][ T6145] RBP: 00007fff38a5cf30 R08: 0000000000000000 R09: 00007fff38a5cd00
[   53.937074][ T6145] R10: 000055557dd3e7eb R11: 0000000000000202 R12: 00007fff38a5dfc0
[   53.937495][ T6145] R13: 000055557dd3e770 R14: 00007fff38a5ce98 R15: 00007fff38a5dfe0
[   53.937918][ T6145]  </TASK>
[   53.938093][ T6145] Modules linked in:
[   53.938358][ T6145] ---[ end trace 0000000000000000 ]---
[   53.938675][ T6145] RIP: 0010:close_ctree+0x738/0x790
[   53.938980][ T6145] Code: 17 ff 90 0f 0b e8 b8 9a 26 ff b9 f5 10 00 00 48 c7 c2 b6 43 fc 85 48 c7 c6 d0 77 10 86 48 c7 c7 c0 46 10 86 e8 09 09 17 ff 90 <0f> 0b e8 91 9a 26 ff b9 fe 10 00 00 48 c7 c2 b6 43 fc 85 48 c7 c6
[   53.939967][ T6145] RSP: 0018:ffff88800e0dbd28 EFLAGS: 00010293
[   53.940300][ T6145] RAX: 0000000000000051 RBX: ffff888010cbc000 RCX: ffffffff811a8c5e
[   53.940719][ T6145] RDX: ffff88800cec8000 RSI: ffffffff811a9769 RDI: 0000000000000001
[   53.941139][ T6145] RBP: ffff88800e0dbda8 R08: 0000000000000001 R09: 0000000000000001
[   53.941556][ T6145] R10: 0000000000000000 R11: 0000000000000000 R12: 0000000000000000
[   53.941998][ T6145] R13: ffffffff8538a900 R14: 0000000000000001 R15: 0000000000000000
[   53.942493][ T6145] FS:  000055557dd3d3c0(0000) GS:ffff88807dc00000(0000) knlGS:0000000000000000
[   53.943013][ T6145] CS:  0010 DS: 0000 ES: 0000 CR0: 0000000080050033
[   53.943387][ T6145] CR2: 000055557dd467a8 CR3: 000000000fb0a002 CR4: 0000000000770ef0
[   53.943808][ T6145] PKRU: 55555554
[   53.944010][ T6145] Kernel panic - not syncing: Fatal exception
[   53.944498][ T6145] Kernel Offset: disabled
[   53.944741][ T6145] Rebooting in 86400 seconds..

VM DIAGNOSIS:
17:30:39  Registers:
info registers vcpu 0
RAX=0000000000000039 RBX=0000000000000000 RCX=0000000000000000 RDX=00000000000003f8
RSI=ffffffff82a5ff8a RDI=ffffffff893a8160 RBP=ffff88800e0db7d0 RSP=ffff88800e0db7b8
R8 =0000000000000001 R9 =0000000000000000 R10=0000000000000039 R11=0000000000000000
R12=ffffffff893a8160 R13=0000000000000039 R14=ffffffff8923c028 R15=0000000000000000
RIP=ffffffff82a5ffa1 RFL=00000002 [-------] CPL=0 II=0 A20=1 SMM=0 HLT=0
ES =0000 0000000000000000 00000000 00000000
CS =0010 0000000000000000 ffffffff 00a09b00 DPL=0 CS64 [-RA]
SS =0018 0000000000000000 ffffffff 00c09300 DPL=0 DS   [-WA]
DS =0000 0000000000000000 00000000 00000000
FS =0000 000055557dd3d3c0 00000000 00000000
GS =0000 ffff88807dc00000 00000000 00000000
LDT=0000 0000000000000000 00000000 00000000
TR =0040 fffffe0000003000 00004087 00008b00 DPL=0 TSS64-busy
GDT=     fffffe0000001000 0000007f
IDT=     fffffe0000000000 00000fff
CR0=80050033 CR2=000055557dd467a8 CR3=000000000fb0a002 CR4=00770ef0
DR0=0000000000000000 DR1=0000000000000000 DR2=0000000000000000 DR3=0000000000000000 
DR6=00000000ffff0ff0 DR7=0000000000000400
EFER=0000000000000d01
FCW=037f FSW=0000 [ST=0] FTW=00 MXCSR=00001f80
FPR0=0000000000000000 0000 FPR1=0000000000000000 0000
FPR2=0000000000000000 0000 FPR3=0000000000000000 0000
FPR4=0000000000000000 0000 FPR5=0000000000000000 0000
FPR6=0000000000000000 0000 FPR7=0000000000000000 0000
Opmask00=00000000ff0101f0 Opmask01=00000000fffffff8 Opmask02=0000000008fffef8 Opmask03=0000000000000000
Opmask04=0000000000000000 Opmask05=0000000000000000 Opmask06=0000000000000000 Opmask07=0000000000000000
ZMM00=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000007e8002b0000 06271e0f06120502
ZMM01=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000007e8002b0000 06271e0f06120502
ZMM02=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffffff0f 0e0d0c0b0a090807
ZMM03=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM04=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM05=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM06=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM07=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM08=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000020 0000000000002000
ZMM09=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000ffffffffffff ffffffffffffff00
ZMM10=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM11=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM12=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM13=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM14=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM15=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM16=3a746e756f6d2e30 656c69662d39332d 744d4248594b2e72 656c6c616b7a7973 203a5d315b646d65 747379732039333a 30333a3531203831 2079614d3e30333c
ZMM17=2e64656465656363 7553203a746e756f 6d2e30656c69662d 39332d744d424859 4b2e72656c6c616b 7a7973203a5d315b 646d657473797320 39333a30333a3531
ZMM18=0000000000000000 0000000000000000 0000000000000000 0000000000000000 3043545500435455 0000000000000000 0000000000000021 0000000000435455
ZMM19=35352074726f7020 322e322e302e3031 206d6f726620746f 6f7220726f662079 656b63696c627570 2064657470656363 41203a5d39333136 5b64687373203333
ZMM20=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM21=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM22=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM23=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM24=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM25=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM26=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM27=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM28=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM29=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM30=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM31=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
info registers vcpu 1
RAX=0000000000000000 RBX=ffffc9000164b070 RCX=ffffffff81309283 RDX=ffff88800e054380
RSI=00000000c000003e RDI=0000000000000006 RBP=ffff8880100bbd88 RSP=ffff8880100bbd48
R8 =0000000000000000 R9 =0000000000000000 R10=00000000c000003e R11=0000000000000000
R12=ffff8880100bbdb8 R13=0000000000000000 R14=00000000c000003e R15=00000000c000003e
RIP=ffffffff81309286 RFL=00000246 [---Z-P-] CPL=0 II=0 A20=1 SMM=0 HLT=0
ES =0000 0000000000000000 00000000 00000000
CS =0010 0000000000000000 ffffffff 00a09b00 DPL=0 CS64 [-RA]
SS =0018 0000000000000000 ffffffff 00c09300 DPL=0 DS   [-WA]
DS =0000 0000000000000000 00000000 00000000
FS =0000 00007efd651148c0 00000000 00000000
GS =0000 ffff88807dd00000 00000000 00000000
LDT=0000 0000000000000000 00000000 00000000
TR =0040 fffffe000003e000 00004087 00008b00 DPL=0 TSS64-busy
GDT=     fffffe000003c000 0000007f
IDT=     fffffe0000000000 00000fff
CR0=80050033 CR2=0000563107e81658 CR3=0000000010c12003 CR4=00770ef0
DR0=0000000000000000 DR1=0000000000000000 DR2=0000000000000000 DR3=0000000000000000 
DR6=00000000ffff0ff0 DR7=0000000000000400
EFER=0000000000000d01
FCW=037f FSW=0000 [ST=0] FTW=00 MXCSR=00001f80
FPR0=0000000000000000 0000 FPR1=0000000000000000 0000
FPR2=0000000000000000 0000 FPR3=0000000000000000 0000
FPR4=0000000000000000 0000 FPR5=0000000000000000 0000
FPR6=0000000000000000 0000 FPR7=0000000000000000 0000
Opmask00=0000000080000000 Opmask01=00000000fffeffff Opmask02=00000000fefefe00 Opmask03=0000000000000000
Opmask04=0000000000000000 Opmask05=0000000000000000 Opmask06=0000000000000000 Opmask07=0000000000000000
ZMM00=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00006c696146002f
ZMM01=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000696e656420 737365636341002f
ZMM02=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffff0f0e0d0c0b 0a09080706050403
ZMM03=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 696e656420737365 636341002f737973
ZMM04=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM05=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM06=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM07=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM08=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM09=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM10=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM11=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM12=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM13=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM14=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM15=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM16=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM17=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000ffffffff 0000563107e6bea0
ZMM18=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 7269762f73656369 7665642f7379732f
ZMM19=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 003864626e2f6b63 6f6c622f6c617574
ZMM20=0000000000000000 000000000000ff00 010000000000ff00 0000000000000000 0000000000000000 0000000000000000 00000007ffffffff 0000563107e7f500
ZMM21=0000563107e7f4e0 0000000000000008 0000563107e7f4a0 0000563107e7f480 0000000500000000 0000563107e7f0d0 0000563107e7f0b0 0000000300000006
ZMM22=0000563107e6bf20 0000563107e6be80 0000000200000003 0000563107e6bf40 0000563107e7f100 0000000400000005 0000563107e7e930 0000563107e7e980
ZMM23=ffffffff00000004 0000563107e7ed10 0000563107e6bea0 0000000000000000 0000000000000000 0000000000000000 0000000600000007 0000563107e7f460
ZMM24=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM25=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM26=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM27=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM28=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM29=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM30=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
ZMM31=0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
